"","Sample_ID","Sample_date","Sample_site","Water_body","Depth_m","Latitude","Longitude","Year","Month","Day","DOY","Time","Diatoms","Chrysophytes","Cryptophytes","Green_algae","Cyanobacteria","Dinoflagellates","Edibles","Inedibles","TotalPP","Site_consolidated"
"11","20040506-1280_15m","2004-05-06","1280_15m","Central Erie",15,41.812222,-81.310556,2004,5,6,127,2004.34426229508,1.166183286,0,0.243791102,0.384614535,0,0,1.400652407,0.393936516,1.794588923,"1280_15m"
"12","20040506-1281_10m","2004-05-06","1281_10m","Central Erie",10,41.750278,-81.310556,2004,5,6,127,2004.34426229508,0.534992226,0,0.357570014,0.246664464,0.004220888,0,1.139226704,0.004220888,1.143447592,"1281_10m"
"13","20040506-1281_5m","2004-05-06","1281_5m","Central Erie",5,41.765278,-81.310556,2004,5,6,127,2004.34426229508,1.027307831,0,0.220208088,0.950977402,0,0,1.481583275,0.716910046,2.198493321,"1281_5m"
"14","20040506-1318_20m","2004-05-06","1318_20m","Central Erie",20,41.884167,-81.145556,2004,5,6,127,2004.34426229508,0.069997598,0,0.774062004,0.222235137,0.010614474,0,1.066294739,0.010614474,1.076909213,"1318_20m"
"15","20040506-1319_15m","2004-05-06","1319_15m","Central Erie",15,41.841111,-81.145556,2004,5,6,127,2004.34426229508,8.718794177,0,0.382150703,0.280246995,0.0016417,0,5.355290157,4.027543418,9.382833575,"1319_15m"
"16","20040506-1320_10m","2004-05-06","1320_10m","Central Erie",10,41.823056,-81.145556,2004,5,6,127,2004.34426229508,3.077229907,0,0.619288542,0.400946326,0.000809396,0,2.136256281,1.96201789,4.098274171,"1320_10m"
"17","20040520-1279_20m","2004-05-20","1279_20m","Central Erie",20,41.85916667,-81.33722222,2004,5,20,141,2004.3825136612,0.278786709,0.0210331,0.340302414,0.671624133,0.002610821,0,1.311746356,0.002610821,1.314357177,"1279_20m"
"18","20040520-1280_15m","2004-05-20","1280_15m","Central Erie",15,41.812222,-81.310556,2004,5,20,141,2004.3825136612,5.346369913,0,0.090418026,0.48730909,0.000916203,0,2.139576727,3.785436505,5.925013232,"1280_15m"
"19","20040520-1281_10m","2004-05-20","1281_10m","Central Erie",10,41.750278,-81.310556,2004,5,20,141,2004.3825136612,1.03542782,0,0.276952526,0.217078207,0.003620757,0,1.339830253,0.193249057,1.53307931,"1281_10m"
"20","20040520-1281_5m","2004-05-20","1281_5m","Central Erie",5,41.765278,-81.310556,2004,5,20,141,2004.3825136612,0.838997678,0,0.083838699,0.114560906,0.002231083,0,0.944536324,0.095092042,1.039628366,"1281_5m"
"21","20040520-1318_20m","2004-05-20","1318_20m","Central Erie",20,41.884167,-81.145556,2004,5,20,141,2004.3825136612,1.611973549,0,0.746946029,0.45697062,0.00720163,0,1.509280401,1.313811427,2.823091828,"1318_20m"
"22","20040520-1320_10m","2004-05-20","1320_10m","Central Erie",10,41.823056,-81.145556,2004,5,20,141,2004.3825136612,0.458337949,0,0.129299277,0.254690281,0.001058174,0,0.589530844,0.253854837,0.843385681,"1320_10m"
"23","20050504-1279_20m","2005-05-04","1279_20m","Central Erie",20,41.85916667,-81.33972222,2005,5,4,124,2005.33698630137,14.055104888,0,0.460593144,1.313403749,0.203426628,0,1.862515801,14.170012608,16.032528409,"1279_20m"
"24","20050504-1280_15m","2005-05-04","1280_15m","Central Erie",15,41.812222,-81.310556,2005,5,4,124,2005.33698630137,4.657660779,0,0.812982312,0.276495471,0,0,1.549490498,4.197648064,5.747138562,"1280_15m"
"25","20050504-1281_10m","2005-05-04","1281_10m","Central Erie",10,41.750278,-81.310556,2005,5,4,124,2005.33698630137,0.183458569,0,0.325091443,0.790536814,0.000623876,0,1.158714701,0.140996001,1.299710702,"1281_10m"
"26","20050504-1281_5m","2005-05-04","1281_5m","Central Erie",5,41.765278,-81.310556,2005,5,4,124,2005.33698630137,0.172740401,0,0.456309821,0.320713065,0.001528676,0,0.777022886,0.174269077,0.951291963,"1281_5m"
"27","20050504-1318_20m","2005-05-04","1318_20m","Central Erie",20,41.88194444,-81.17055556,2005,5,4,124,2005.33698630137,8.560546552,0,0.387411005,0.397128849,0,0,1.45445545,7.890630956,9.345086406,"1318_20m"
"28","20050504-1319_15m","2005-05-04","1319_15m","Central Erie",15,41.841111,-81.145556,2005,5,4,124,2005.33698630137,0,0,2.631763082,0.945217271,0.124207081,0,3.576980353,0.124207081,3.701187434,"1319_15m"
"29","20050504-1320_10m","2005-05-04","1320_10m","Central Erie",10,41.823056,-81.145556,2005,5,4,124,2005.33698630137,0.279356284,0,0.123799509,0.617732638,0.079050636,0,0.76032227,0.339616797,1.099939067,"1320_10m"
"30","20060504-1279_20m","2006-05-04","1279_20m","Central Erie",20,41.85916667,-81.33722222,2006,5,4,124,2006.33698630137,1.324286901,0,0.948597609,0.117503479,0.001841888,0,1.068547373,1.323682504,2.392229877,"1279_20m"
"31","20060504-1280_15m","2006-05-04","1280_15m","Central Erie",15,41.812222,-81.310556,2006,5,4,124,2006.33698630137,0.001984417,0,0.518337307,0.052150259,0,0,0.572471983,0,0.572471983,"1280_15m"
"32","20060504-1281_10m","2006-05-04","1281_10m","Central Erie",10,41.750278,-81.310556,2006,5,4,124,2006.33698630137,0,0,0.384975691,0.032336254,0.000120306,0,0.417311945,0.000120306,0.417432251,"1281_10m"
"33","20060504-1281_5m","2006-05-04","1281_5m","Central Erie",5,41.765278,-81.310556,2006,5,4,124,2006.33698630137,0.632269316,0,0.661711121,0.093218434,0,0,0.756816824,0.630382047,1.387198871,"1281_5m"
"34","20060504-1310_5m","2006-05-04","1310_5m","Central Erie",5,41.788611,-81.213333,2006,5,4,124,2006.33698630137,0.035307795,0,0.88805925,0.065171556,0.000891815,0,0.986768798,0.002661618,0.989430416,"1310_5m"
"35","20060504-1318_20m","2006-05-04","1318_20m","Central Erie",20,41.884167,-81.145556,2006,5,4,124,2006.33698630137,0.682261852,0.006503722,1.039464697,0.09960179,0.005825192,0.515826437,1.669532488,0.679951202,2.34948369,"1318_20m"
"36","20060504-1319_15m","2006-05-04","1319_15m","Central Erie",15,41.841111,-81.145556,2006,5,4,124,2006.33698630137,0.89059119,0,1.508678888,0.137078872,0.014453994,0.169859998,1.876055497,0.844607445,2.720662942,"1319_15m"
"37","20060504-1320_10m","2006-05-04","1320_10m","Central Erie",10,41.823056,-81.145556,2006,5,4,124,2006.33698630137,0.009762518,0,1.330045231,0.061927778,0,0,1.401735527,0,1.401735527,"1320_10m"
"38","20060523-1318_20m","2006-05-23","1318_20m","Central Erie",20,41.884167,-81.145556,2006,5,23,143,2006.38904109589,0.021069826,0,0.005455443,0.000563978,3.08e-06,0,0.025699083,0.001393244,0.027092327,"1318_20m"
"39","20060523-1319_15m","2006-05-23","1319_15m","Central Erie",15,41.841111,-81.145556,2006,5,23,143,2006.38904109589,0.059177632,0.013226163,0.5731501,0.058709047,0,0,0.704262942,0,0.704262942,"1319_15m"
"40","20060523-1320_10m","2006-05-23","1320_10m","Central Erie",10,41.823056,-81.145556,2006,5,23,143,2006.38904109589,0.834968982,0,0.856428725,0.068491193,0.007009427,0,1.7598889,0.007009427,1.766898327,"1320_10m"
"41","20070508-1279_20m","2007-05-08","1279_20m","Central Erie",20,41.85916667,-81.33722222,2007,5,8,128,2007.34794520548,1.174352736,0.011152289,0.261670273,0.302579665,0.000821845,0.072164054,0.515696856,1.307044006,1.822740862,"1279_20m"
"42","20070508-1280_15m","2007-05-08","1280_15m","Central Erie",15,41.812222,-81.310556,2007,5,8,128,2007.34794520548,1.302678242,0.000581039,0.227704308,0.970112987,0.013857514,0,1.473362469,1.041571621,2.51493409,"1280_15m"
