"","Sample_ID","Sample_date","Sample_site","Water_body","Depth_m","Surface_temp","Latitude","Longitude","Year","Month","Day","DOY","Time","Sm_cladocerans","Lg_cladocerans","Cyclopoids","Calanoids","Rotifers","Nauplii","Veligers","Leptodora","TotalZP"
"14","20040506-1318_20m","2004-05-06","1318_20m","Central Erie",20,8.9,41.884167,-81.145556,2004,5,6,127,2004.34426229508,7.52893108082954,0.538504326045332,130.626138293166,20.1569299848269,7.89800465248205,9.03056970306311,2.52214172426434,0,178.301219764678
"15","20040506-1319_15m","2004-05-06","1319_15m","Central Erie",15,11.3,41.841111,-81.145556,2004,5,6,127,2004.34426229508,2.75427679960346,0,21.1698078304109,10.0451856510861,41.3965752441597,1.89046988903032,175.851264809501,0.139730536964035,253.247310760756
"16","20040506-1320_10m","2004-05-06","1320_10m","Central Erie",10,11.8,41.823056,-81.145556,2004,5,6,127,2004.34426229508,1.28657714485448,0.0396234730406883,6.05205324035753,6.31806989119999,11.2598049356023,0.740010445181795,32.9333230446494,0.231479839138853,58.8609420140251
"17","20040520-1279_20m","2004-05-20","1279_20m","Central Erie",20,12.9,41.85916667,-81.33722222,2004,5,20,141,2004.3825136612,13.3950258637789,0,39.552391467545,21.5472943145603,6.02077748825685,1.34833297315274,0.334779048570629,0,82.1986011558643
"18","20040520-1280_15m","2004-05-20","1280_15m","Central Erie",15,15.3,41.812222,-81.310556,2004,5,20,141,2004.3825136612,19.7968366966069,0,23.5918602198545,47.0051606556311,33.3959336542763,3.87057670406195,138.568446127171,0,266.228814057602
"19","20040520-1281_10m","2004-05-20","1281_10m","Central Erie",10,14.7,41.750278,-81.310556,2004,5,20,141,2004.3825136612,6.96407264393861,0,6.25345708308435,13.3585300134566,36.3224278441917,0.995927858422736,12.7204143002077,0.922038957475402,77.5368687007772
"20","20040520-1281_5m","2004-05-20","1281_5m","Central Erie",5,14.6,41.765278,-81.310556,2004,5,20,141,2004.3825136612,16.7087150702919,0.922605653137132,3.07148983052005,5.13213385164329,2.24085352721759,0.894722836338198,3.8054667780812,0,32.7759875472294
"21","20040520-1318_20m","2004-05-20","1318_20m","Central Erie",20,14.3,41.884167,-81.145556,2004,5,20,141,2004.3825136612,4.47338176427412,1.06706834840921,61.8972370899338,5.90065299193462,61.5567377337415,4.2713776624247,97.3691243899529,0,236.535579980671
"22","20040520-1319_15m","2004-05-20","1319_15m","Central Erie",15,15.5,41.841111,-81.145556,2004,5,20,141,2004.3825136612,14.1998315662878,0,47.5960881251651,12.5059875169744,57.5004510458643,3.87425205795901,46.0050720575883,0,181.681682369839
"23","20040520-1320_10m","2004-05-20","1320_10m","Central Erie",10,15.6,41.823056,-81.145556,2004,5,20,141,2004.3825136612,80.2969520821595,2.38995956356745,248.243341877813,36.9309507331676,144.227269386125,7.90446451444265,328.003907291278,2.61105747928201,850.607902927836
"24","20050504-1279_20m","2005-05-04","1279_20m","Central Erie",20,6.9,41.85916667,-81.33972222,2005,5,4,124,2005.33698630137,0.808440961166741,0.245561485870989,52.049712994452,17.2049556549868,1.16089091102513,3.62893545768358,0,0,75.0984974651853
"25","20050504-1280_15m","2005-05-04","1280_15m","Central Erie",15,8.2,41.812222,-81.310556,2005,5,4,124,2005.33698630137,1.59143265320675,0.196990561523533,70.0414210487318,4.79575292089751,2.49418588240512,9.10420480770549,0.0292974066061683,0,88.2532852810764
"26","20050504-1281_10m","2005-05-04","1281_10m","Central Erie",10,8.8,41.750278,-81.310556,2005,5,4,124,2005.33698630137,0.137049192418628,0.0340485542711133,2.38141175903373,1.97413701733856,2.02286646764182,1.02443688217054,0.170040191158086,0,7.74399006403248
"27","20050504-1281_5m","2005-05-04","1281_5m","Central Erie",5,9.9,41.765278,-81.310556,2005,5,4,124,2005.33698630137,0.224085580994763,0.0814259666482854,3.47949153771287,5.66575838284853,3.36855494318996,0.980294332220403,0.0365822329063321,0.099323013045727,13.9355159895669
"28","20050504-1318_20m","2005-05-04","1318_20m","Central Erie",20,6.1,41.88194444,-81.17055556,2005,5,4,124,2005.33698630137,0.939519062838132,0.154854394084791,57.7570756754372,15.8694611929742,7.18517342321,4.28961787562206,0.0119089998745073,0,86.2076106240409
"29","20050504-1319_15m","2005-05-04","1319_15m","Central Erie",15,8,41.841111,-81.145556,2005,5,4,124,2005.33698630137,0.61591450003642,0,69.055393432523,22.845593718674,0.121985623587064,9.57932266454435,0.0268576301931746,0,102.245067569558
"30","20050504-1320_10m","2005-05-04","1320_10m","Central Erie",10,9.1,41.823056,-81.145556,2005,5,4,124,2005.33698630137,0.175443282473771,0.18382700885359,1.44196674237792,3.17292132035443,0.507132516126081,0.39442502102988,0.20231083349714,0,6.07802672471281
"31","20060504-1279_20m","2006-05-04","1279_20m","Central Erie",20,9.8,41.85916667,-81.33722222,2006,5,4,124,2006.33698630137,1.72970730046669,0,31.9780546895076,105.81381990757,6.85521172437736,3.68111373894923,0.0329322119100725,0,150.090839572781
"32","20060504-1280_15m","2006-05-04","1280_15m","Central Erie",15,11.1,41.812222,-81.310556,2006,5,4,124,2006.33698630137,1.49759937888146,0.360889833818061,43.1215220945314,9.78667229195003,0.784028861764844,0.950707366054547,0,0,56.5014198270003
"33","20060504-1281_10m","2006-05-04","1281_10m","Central Erie",10,12.5,41.750278,-81.310556,2006,5,4,124,2006.33698630137,2.1487861024108,0.929289668572201,19.7763158593775,16.0408970740964,3.90720101465861,1.28650687505246,0,0,44.0889965941679
"34","20060504-1281_5m","2006-05-04","1281_5m","Central Erie",5,13.4,41.765278,-81.310556,2006,5,4,124,2006.33698630137,1.69657411096237,0,1.6825720820127,17.3494178964337,0.277724551785059,0.762931345108142,0,0.300689671039806,22.0699096573418
"35","20060504-1310_5m","2006-05-04","1310_5m","Central Erie",5,12.3,41.788611,-81.213333,2006,5,4,124,2006.33698630137,6.85879082606259,0.361893780489904,10.5853549965455,33.0299142815406,3.36246584902793,1.91244732129641,0,0,56.1108670549629
"36","20060504-1318_20m","2006-05-04","1318_20m","Central Erie",20,10.2,41.884167,-81.145556,2006,5,4,124,2006.33698630137,2.23065368652286,0.212407578613949,32.854199873565,5.76260962251509,1.93877405317637,1.67549346369531,0,0,44.6741382780886
"37","20060504-1319_15m","2006-05-04","1319_15m","Central Erie",15,11.7,41.841111,-81.145556,2006,5,4,124,2006.33698630137,4.00732000596441,0.154906550734578,37.3196359832544,6.81166519785382,1.52767044548281,0.739371699498619,0.0256579772140977,0,50.5862278600027
